"BFISH","MISSION_ID","DROP_CD","VIDEO_FRAME","TIME_FROM_TOUCHDOWN_MIN","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","MAXN","DATA_TYPE","SEQUENCE_NR","CREATE_DTM","CREATED_BY","LAST_MOD_DTM","LAST_MOD_BY"
"BFISH_2018_F","SE1806","20181029_234357",16303,15,"NONE","No Fish in Drop","NONE",NA,NA,"00000418",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_235214",5028,0.4847,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000419",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_235214",14586,13.7597,"SESP","Seriola sp.","Amberjack sp.",NA,"non-target","00000420",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_235214",15184,14.5903,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000421",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181029_235214",15439,14.9444,"SEDU","Seriola dumerili","Greater amberjack",NA,"non-target","00000422",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_002648",4319,0.3986,"SERI","Seriola rivoliana","Almaco jack",NA,"non-target","00000423",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_184909",4734,3.2861,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000424",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_184926",8159,2.6931,"TRIG","Balistid sp.","Triggerfish sp.",NA,"non-target Balistes polylepis","00000425",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_184926",8964,3.8111,"XACA","Xanthichthys caeruleolineatus","Bluelined triggerfish",NA,"non-target","00000426",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_185921",5298,0.0097,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000427",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_190327",3456,0.7944,"FISH","Teleost","Bony fish sp.",NA,"non-target","00000428",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_190327",9537,9.2403,"BOAL","Bodianus albotaeniatus","Hawaiian hogfish",NA,"non-target","00000429",NA,NA,NA,NA
"BFISH_2018_F","SE1806","20181030_190327",11267,11.64,"NASP","Naso sp.","unicornfish sp.",NA,"non-target","00000430",NA,NA,NA,NA
